id,IM/SPM,SM,FM,stg1,stg2,stg3,wt,ra1,ra2,ra3,wt,ra1,ra2,ra3
wox9C,17.3399,6.9188,4.7093,20.2546,19.7755,11.5302,23.358,7.834,5.8898,24.4684,10.6404,4.8266,4.3761,8.6691
rs2,106.854,115.19,91.7473,177.161,226.797,219.266,188.5143,52.2874,41.871,195.027,87.5215,14.5996,29.4419,60.3713
TCP TF,37.9514,22.8789,18.3857,18.9552,68.8375,63.5529,55.6576,8.7629,12.9923,51.0864,38.3421,2.041,9.1573,19.3832
ROXY,7.1925,9.7168,8.5894,44.4392,74.7468,48.8385,120.452,24.5326,28.6195,106.156,39.6241,5.7532,13.0119,30.0719
LOB TF,1.7555,0.3625,0.0912,6.1736,4.5234,2.0727,8.4876,1.2063,1.7694,6.9708,3.1565,0.3108,0.6279,1.6702
CUC-like,87.9843,79.2477,59.7713,156.77,208.429,159.81,159.609,43.6188,57.8415,141.507,118.845,22.655,40.5244,90.6108
unknown grass-specific,42.5229,28.4608,19.9666,106.423,89.0494,41,152.087,28.7581,26.9239,141.413,44.6217,5.9548,16.7313,31.1568
