clustera,wt.1mm.fpkm,wt.2mm.fpkm,tip.IM/SPM.ear.fpkm,mid.SM.ear.fpkm,base.FM.ear.fpkm,stg1.tassel.fpkm,stg2.tassel.fpkm,stg3.tassel.fpkm
1,10.4801,13.5793,14.0374,8.026,9.0005,9.0202,7.291,5.1144
1,11.9283,13.8851,18.9617,7.6298,7.5894,13.1365,7.8788,10.7195
1,29.4251,33.4439,45.166,30.059,30.3132,26.6442,20.8149,23.7303
1,5.9218,5.5705,7.726,4.0694,5.9873,5.0132,3.0557,8.0751
1,8.9309,8.6898,8.7206,5.2154,7.7258,5.4703,4.0031,4.4536
1,4.1884,6.6172,9.8396,4.7184,4.4187,4.0227,2.9486,2.9441
1,14.9191,18.9566,21.2481,12.9933,14.1623,13.0041,7.4301,8.1587
1,0.3297,0.9475,0.7223,0.5011,0.5229,0.3368,0.2308,0.1761
1,6.0786,8.7693,6.2733,5.2826,3.9917,4.3875,4.6885,2.1366
1,72.6019,89.6341,113.248,60.27,60.912,73.8264,55.7471,47.2135
1,33.0186,28.0566,48.9003,26.5475,21.1948,22.0235,17.1359,25.4442
1,10.3339,11.5151,15.6254,8.1387,9.74,4.2716,3.3255,5.0145
1,21.0306,20.0538,30.5992,17.1573,15.8363,18.4027,11.7411,12.9261
1,646.6587,622.436,737.683,415.217,307.395,436.046,274.746,282.35
1,3.8208,5.9938,5.7257,2.2647,4.1456,2.6141,2.9501,2.9806
1,53.5406,63.5821,56.6606,36.484,40.5869,24.549,21.4179,45.3278
1,14.2486,18.3625,17.4227,12.4219,16.8751,6.5616,4.5042,5.7831
1,1.1573,1.6397,1.7385,0.8272,0.6999,0.2374,0.2374,0.52
1,233.0567,287.0293,318.038,179.99,218.793,167.88,125.594,81.9024
1,32.9177,53.5583,62.5297,36.593,39.2256,38.0271,27.6573,43.726
1,30.9835,41.8524,47.8592,35.146,31.5936,40.6008,31.6268,28.464
1,10.6735,11.7184,14.0461,4.2038,5.1403,8.383,3.9603,5.8941
1,5.6369,5.9957,6.7966,4.8576,5.9431,2.571,2.0135,2.8742
1,76.1497,95.3181,191.703,11.1713,2.2818,54.5194,60.8726,9.0689
1,70.7288,112.3863,141.233,88.7559,89.7523,88.0016,60.5247,59.2555
1,1.5455,1.7484,1.5239,1.5251,1.1081,1.6785,0.7386,0.7374
1,2.841,2.3269,2.9637,2.2735,2.3808,0.8615,0.3328,0.4431
1,11.351,11.0053,13.1847,8.8697,9.8868,7.475,6.5026,9.9167
1,15.6359,17.7993,22.3387,15.3158,14.5057,9.6263,8.5573,9.4169
1,9.2065,17.1922,14.4374,9.6406,9.9311,13.8948,9.6179,9.5612
1,141.951,184.2133,127.124,82.0465,101.265,35.3517,15.622,53.5872
1,6.3874,7.2634,9.8595,6.5091,6.185,7.0485,3.2204,4.0629
1,84.5768,105.0187,125.799,69.45,66.0812,82.1185,47.8833,49.2717
1,15.092,10.6386,16.1863,9.3218,11.3842,7.9404,5.9299,7.6694
1,1.7069,1.7946,2.5808,1.3426,1.4012,0.9641,0.8284,1.2646
1,141.2047,165.1943,144.477,119.69,83.9413,66.9065,102.345,84.8764
1,1.2458,2.328,2.5398,0.5161,1.0448,0.4317,0.5337,0.2774
1,6.4461,8.8587,9.9685,7.2676,6.0062,6.6649,3.6051,7.8001
1,57.1117,99.9338,92.0078,45.0081,41.3243,58.2337,53.2836,42.7065
1,243.8937,300.9183,325.857,207.187,184.947,252.969,148.342,163.674
1,165.129,203.655,244.115,144.58,179.712,147.251,111.901,172.112
1,1.4014,1.5045,4.0454,0.6282,0.4252,0.4273,0.2967,0.2529
1,6.2239,7.9727,12.6644,6.0072,6.2355,3.5099,2.5109,2.5139
1,3.8809,3.3613,4.5888,1.6577,1.1521,1.7618,2.0233,3.1531
1,25.1554,23.3063,28.8481,18.3905,18.3313,17.3145,8.728,11.7233
1,66.6727,87.3046,111.429,52.1735,56.4744,49.8166,44.3652,32.962
1,23.7175,26.2918,30.9137,17.1451,20.4094,12.9947,10.2815,10.4473
1,17.8814,14.5716,19.8269,13.9884,13.6719,12.8098,10.3196,12.9872
1,2.6755,2.4328,3.9496,1.1077,1.4632,2.0614,1.1724,1.8376
1,22.1909,22.7984,21.7685,14.6634,15.4735,19.5333,13.5945,19.6204
1,35.9237,39.5447,39.7083,24.4263,24.8634,35.6121,23.9059,30.3616
1,55.4132,51.6858,61.5217,45.1925,56.6835,20.0376,20.7149,35.1133
1,0.9032,1.8597,2.2885,1.1479,1.1065,1.1769,0.8367,0.7496
1,0.8108,1.0327,1.3791,0.5676,0.8489,0.3101,0.2291,0.3975
1,192.5747,194.625,200.355,66.6541,40.0138,121.084,120.798,60.8032
1,604.9937,713.2587,1169.17,522.182,460.747,637.364,429.337,214.078
1,1.207,1.9027,1.5331,1.2319,1.3205,1.2862,0.4392,1.1505
1,29.0475,31.1294,35.1751,11.8969,14.305,21.9931,15.2932,18.7262
1,20.5598,18.4391,27.7947,16.24,16.1905,17.9963,13.9169,15.1729
1,23.4706,28.6383,30.9044,16.3136,15.0106,16.3697,11.8421,10.8923
1,3.2762,5.0644,4.2726,2.5949,3.8246,2.5432,1.0779,1.2343
1,11.0677,14.9083,17.3807,7.501,7.8342,10.1521,10.1522,10.0062
1,4.9728,6.0876,6.2735,5.0257,4.9584,6.3049,2.973,3.4713
1,30.3273,38.5651,37.9924,19.6183,15.9387,28.9488,16.1595,22.756
1,24.9628,23.7401,26.4452,18.2352,18.0725,12.6316,10.7347,13.845
1,1.221,0.8442,1.2468,0.6167,1.3643,0.7232,0.6751,0.3613
1,20.1141,24.5974,34.4098,18.0998,20.3048,14.6491,11.4397,10.5541
1,8.3654,6.0673,7.4229,5.6458,6.3721,2.2024,1.9682,1.9721
1,20.4248,35.9208,50.5538,20.7569,22.1442,24.4974,16.9364,19.7203
1,76.9487,85.8251,84.5625,48.6737,43.9827,62.2876,46.9918,34.9015
1,10.3866,22.5949,29.2516,5.8992,11.6801,7.2037,5.8698,5.8297
1,8.7176,11.3252,14.7624,7.2437,8.7329,5.4186,3.3434,3.4683
1,6.9885,8.4225,10.9116,5.4211,6.9617,6.8552,3.7621,6.0822
1,4.3039,3.6316,3.6523,1.3298,1.9812,2.0943,1.0618,2.6501
1,8.1445,25.6183,26.8502,17.0623,17.7983,16.2339,13.286,8.3803
1,2.3052,3.0782,3.0087,1.763,2.8583,2.518,1.078,2.2788
1,19.2898,26.1895,32.7832,22.5059,21.1448,17.2081,13.8427,13.6352
1,9.3428,12.691,23.9471,11.6615,6.6772,3.7959,2.2601,2.9089
1,11.1229,12.542,15.5854,10.8633,11.5431,11.9488,7.7342,9.8652
1,2.7102,2.4543,3.8443,2.2214,2.0734,1.1857,0.984,1.0126
1,15.7214,22.152,28.0837,17.4359,17.3213,17.5448,11.2158,12.0466
1,0.3828,0.1969,0.502,0.0512,0.3967,0.0577,0.225,0.2543
1,5.3493,4.7982,6.8908,3.9711,4.7777,6.1373,3.0396,4.7662
1,72.3212,74.0396,103.844,62.6017,69.921,45.0371,30.4347,36.2008
1,4.3724,9.3895,8.8553,5.5117,6.6882,3.4457,2.5329,3.3449
1,0.1302,0.1466,0.118,0.0557,0.1025,0.0375,0.089,0.077
1,0.4698,1.2209,1.2211,0.5842,0.69,0.7115,0.4541,0.5094
1,0.8059,0.961,1.1823,0.488,0.5601,0.7747,0.4195,0.596
1,5.0693,4.3998,9.6176,2.1926,1.4019,1.6385,1.9668,1.7001
1,39.8036,49.6309,35.564,22.6642,22.5629,35.0423,25.7938,21.0455
1,1.7633,1.248,1.9174,1.3596,1.2356,0.9457,0.3409,1.0191
1,16.3076,25.0068,32.9702,18.8179,21.6972,14.4282,12.6035,10.9468
1,4.7714,4.2546,6.9641,3.1845,2.8658,0.7352,1.0783,2.9099
1,26.9401,24.1505,39.8499,12.2961,15.0297,20.1274,27.8162,11.4612
1,7.9667,11.7499,15.4456,7.7895,10.1788,7.5303,4.1195,5.3195
1,9.6937,14.304,19.8403,11.1325,11.1566,10.0085,7.32,8.0919
1,26.0688,38.9439,39.6387,28.1111,29.3105,39.0449,19.7086,31.3829
1,3.1114,3.7296,4.8573,2.2378,3.1179,3.224,2.0032,3.1152
1,1.2864,1.6393,1.2774,0.5932,0.5405,0.5428,0.4383,0.2875
1,7.4093,6.1629,6.2097,5.2412,5.7032,3.1858,1.9194,2.579
1,81.762,101.7758,105.289,61.697,74.3114,81.9449,64.1718,64.206
1,31.5497,82.4701,63.286,60.2741,48.2206,1.6272,3.3029,21.205
1,21.624,30.1715,26.9883,14.7098,14.9183,21.5518,19.6526,11.563
1,35.9839,39.1813,36.7529,23.9858,22.9636,29.0372,13.3706,17.6981
1,2.3483,3.9738,4.2227,3.5188,2.9051,2.551,2.58,1.2114
1,1.7699,2.7104,2.78,2.585,1.8356,1.8454,0.8479,1.4951
1,192.124,251.8733,383.931,179.117,150.322,180.603,136.791,86.0457
1,25.308,24.4228,32.2338,19.0787,19.6199,13.3465,9.296,13.9674
1,0.8526,0.9573,1.0812,0.2751,0.1401,0.4696,0.7554,0.3238
1,19.8488,19.2166,21.5887,16.0111,16.5696,8.3231,4.5315,3.6671
1,13.3077,16.0697,13.7566,9.5611,13.8278,10.9623,7.5108,9.4575
1,17.6744,16.901,20.9454,14.7881,15.4499,14.6746,12.2034,16.5934
1,32.2899,34.7417,57.2866,21.5402,28.2677,16.5436,11.8513,21.8986
1,10.6475,10.1173,13.5829,4.4845,7.2631,6.9418,3.4864,5.9324
1,27.5994,28.5939,54.5299,7.3388,7.0479,21.749,18.1476,11.6959
1,6.6863,5.885,9.1304,3.6171,4.256,2.5894,2.4956,2.1365
1,436.7063,727.387,619.225,353.098,294.802,418.695,263.636,237.624
1,1.7543,1.2091,2.6456,0.9836,0.7998,0.9208,0.302,0.3725
1,8.7443,7.3142,7.6503,6.0664,6.426,4.1741,3.9199,4.6579
1,110.529,178.546,175.538,115.852,115.977,127.105,105.929,71.038
1,16.3874,32.9718,30.1193,24.1711,25.8734,18.0935,17.3749,26.5236
1,125.027,126.3187,193.414,80.5855,83.8316,59.6483,31.5173,43.3403
1,9.3147,15.3928,17.0717,11.2366,8.778,12.5011,8.1971,7.9589
1,356.9793,399.266,394.374,206.281,220.093,277.374,262.845,227.809
1,170.6667,311.382,352.633,239.133,228.434,203.548,154.352,148.358
1,14.7229,16.6994,20.931,10.9121,10.3357,15.4951,12.5335,12.3661
1,12.5676,17.2823,20.9431,13.0909,15.0893,12.1386,10.7439,9.9573
1,46.2023,39.9677,48.7562,17.9959,16.968,35.8269,19.1348,15.7398
1,8.8957,13.4628,12.2317,8.9401,12.5575,10.7642,5.0857,8.1675
1,0.1981,0.4132,0.6337,0.2294,0.3291,0.1535,0.0557,0.0784
1,128.7687,155.1983,205.017,138.551,127.018,138.339,108.183,60.7612
1,156.411,171.8523,214.082,99.4676,103.667,113.78,74.4792,86.2787
1,17.9355,23.8682,25.8318,17.5243,19.3986,15.7307,12.7843,16.1402
1,51.2301,65.1007,67.7798,38.1369,40.2788,33.2025,21.4327,24.088
1,5.8993,8.13,7.3527,4.2997,3.8237,6.4981,4.3067,4.608
1,10.0164,14.8081,15.2387,11.522,10.6642,8.7181,4.7939,12.8226
1,79.8554,97.8739,116.807,74.972,68.6058,89.9795,80.2482,69.0861
1,68.2843,75.7403,106.564,52.0793,55.654,56.3272,41.3969,47.9315
1,38.1368,57.4721,53.5411,35.0799,31.2445,41.6335,35.6437,51.6355
1,6.4436,5.8223,8.824,3.1855,3.0511,3.2285,3.357,6.0175
1,1.3684,0.5216,1.1359,0.7204,0.8122,0.3653,0.175,0.1744
1,29.5722,34.0635,34.6957,24.5593,25.134,31.8378,20.0986,21.9181
1,6.8253,7.9969,10.6074,5.2097,7.3434,6.2296,4.9887,4.951
1,3.8735,1.6851,3.3874,0.3566,0.5095,2.3624,0.5564,0.1829
1,47.2125,72.2616,51.6287,23.6083,26.2529,54.3839,29.2756,30.7826
1,0.1094,0.5547,0.8038,0.0875,0.3494,0.1857,0.1324,0.1671
1,38.051,68.4422,64.9312,45.3829,63.1368,50.6571,32.3855,30.8462
1,17.9671,20.4443,24.683,16.3215,17.4725,19.3563,12.4507,18.7794
1,31.0856,39.4491,62.5002,22.4952,25.4973,18.6736,11.5341,16.8754
1,26.6547,29.4068,42.5164,21.5907,29.085,19.838,16.5917,19.2382
1,194.111,325.1,393.139,215.35,174.101,289.523,171.319,154.718
1,1.9731,2.6541,2.3304,1.1088,2.0206,2.3674,1.6271,1.6107
1,11.8896,13.1807,13.991,9.9439,10.4283,5.4139,5.8401,6.8843
1,46.325,23.3077,46.1009,4.7111,4.2089,20.9665,15.4174,7.1812
1,6.7542,5.964,6.7266,3.8232,4.0337,4.6934,2.8564,3.4063
1,0.4414,0.8631,0.9461,0.2127,0.34,0.1853,0.2001,0.1276
1,5.8107,6.5426,5.79,2.3191,2.1065,2.749,1.5475,2.0639
1,13.7457,17.4876,24.2976,12.2745,12.5584,9.3755,6.9502,7.4305
1,64.6857,69.8341,62.6817,44.188,46.446,42.069,31.3404,33.1865
1,8.4671,9.9324,12.2371,4.9503,6.3602,7.1595,5.9612,5.6952
1,12.2374,15.6967,13.6962,6.7767,10.0294,8.336,7.828,9.8113
1,2.9843,3.6587,3.7228,1.4461,1.4401,1.5662,1.9896,3.3971
